irumeng	iru(N)^[Abl_Mod.Sg]
Paansunkuk	Paansu(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
ukazig	ukazigh(N)^[Abs.Sg]
Takunkut	Taku(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
aflengakaghnaketen	aflengake(V)^[Opt.Fut.Trns]^[2Sg.3Pl]
tallimaguut	tallimat(NUM)^[Ind.Intr]^[3Pl]
Takum	Taku(N)^[Rel.Sg]
number-a	number(N)^[Abs.Sg]
teruwiteggu	terugi(V)^[Opt.Pres.Trns]^[2Pl.3Sg]
qasigaghhaam	qasiqagh(N)^–ghhagh*(N→N)^[Rel.Sg]
qungluk	qunglug(V)^[Abs.Sg]
mekestaaghhalghii	mekestaaghhagh*(N)^@–lghii(V→N)^[Abs.Sg]
pugimenghani	pugime(V)^[Ctmp.Intr]^[3Sg]
uyaqwhakun	uyaqugh(N)^[Prl.Sg]
nuqnneghluni	nuqnegh(V)^[Sbrd.Intr]^[4Sg]
qunglugem	qunglug(V)^[Rel.Sg]
pugimenghata	pugime(V)^[Ctmp.Intr]^[3Pl]
esghapagaqeggkani	esghapag(V)^~(g)aqe(V→V)^@~–(g)kagh(V→N)^[Loc.Pl]
ellngallutughnguq	ellnga(PRO.Abs.3Sg)^=llu^=tugh^=nguq
pugimameng	pugimagh(V)^[Abl_Mod.Sg]
isiqetun	siqi(V)^[Equ.Sg]
isiqetun	siqi(V)^[Equ.Sg]
qavamaluku	qavagh(V)^@~:(i/u)ma(V→V)^[Sbrd.Trns]^[_.3Sg]
puwiimaghnaluni	pugimagh(V)^@~fna(V→V)^[Sbrd.Intr]^[4Sg]
puwiimaghnaluni	pugimagh(V)^@~fna(V→V)^[Sbrd.Intr]^[4Sg]
sumeghtaghamelghii	sumeghtaghagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
sumeghtaghamelghii	sumeghtaghagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
isiqughhusimalghii	isiqghuute(V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
isiqghhuutelgha	isiqghuute(V)^–llegh(V→N)^[Abs.3SgPoss.Sg]
isiqghhuutelgha	isiqghuute(V)^–llegh(V→N)^[Abs.3SgPoss.Sg]
pugimemeng	pugime(V)^[Abl_Mod.Sg]
angliighataaghaqumi	?
apeghtuqangani	apeghtugh(V)^+tuqagh(V→N)^[Loc.3SgPoss.Sg]
nenglekegmun	nenglekegte(V)^[All.Sg]
upenghaam	upenghagh(N)^[Rel.Sg]
nunmaaggaq	nunmaaggaq(PTCL)
sivutmiightageftuq	sivu(AREA)^+tmiigh(DEM→V)^?^~(g)aqe(V→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]
mekestaaghalghii	mekestaaghhaa(V)^[Ptcp.Intr]^[3Sg]
Rudolph	Rudolph(N)^[Abs.Sg]
Rudolph-nguuq	Rudolph(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
kalereqnakesi	kalereqe(V)^[Opt.Fut.Trns]^[2Pl.3Pl]
mekelghlighhaatlu 	mekelghiigh(N)^–ghhagh*(N→N)^[Abs.Pl]^=llu
tamangani	tamaghhagh*(QUANTQUAL)^[Loc.3SgPoss.Sg]
tamangani	tamaghhagh*(QUANTQUAL)^[Loc.3SgPoss.Sg]
kalereqiteggu	kalereqe(V)^[Opt.Pres.Trns]^[2Pl.3Sg]
Rudolph-em	Rudolph(N)^[Rel.Sg]
taakutiu	[Anaphor]^uku(DEM.PRO)^[AbsRel.Pl]^=llu
aleghqughyuqaqegkangi 	aleghqugh(V)^@~f–yuqagh(V→N)^?^[Ptcp.Trns]^[3Sg.3Pl]
tamaanlenguut	[Anaphor]^maa(DEM.ADV)^?^[Ind.Intr]^[3Pl]
atuneghqulluteng	atune(N)^–ghqu(N→V)^[Sbrd.Intr]^[4Pl]
kalereqiteki	kalereqe(V)^[Opt.Pres.Trns]^[2Pl.3Pl]
pazelem 	pazel(N)^[Rel.Sg]
tegh	teghig(EMO)^@~fnagh(EMO→N)^+tu(N→V)^[Opt.Pres.Trns]^[1Sg.3Pl]
ignaghtu	teghig(EMO)^@~fnagh(EMO→N)^+tu(N→V)^[Opt.Pres.Trns]^[1Sg.3Pl]
iangi	teghig(EMO)^@~fnagh(EMO→N)^+tu(N→V)^[Opt.Pres.Trns]^[1Sg.3Pl]
pazelet	pazel(N)^[Abs.Pl]
amestaaghhaat	amestaagh(V)^~:(ng)u(N→V)^[Ind.Intr]^[3Pl]
taakwagun 	[Anaphor]^ukagun(DEM.ADV.Prl)
iiisimakegkaghsi	liisimake(V)^@~–(g)kagh(V→N)^[Abs.2PlPoss.Sg]
tegmkusat 	teghikusagh(N)^[Abs.Pl]
uvitangani	uvita(N)^[Loc.3SgPoss.Sg]
latat	lata(N)^[Abs.Pl]
nampangitgun	nampe(N)^[Prl.3PlPoss.Sg]
maalghut	maalghug(NUM)^[Abs.Pl]
iighngalghlit 	iigh(V)^~fnga(V→V)^[Ptcp.Intr]^[3Pl]
metghaaghragenkut 	metghaghrag(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
kaleremeng 	kalere(N)^[Abl_Mod.Sg]
imighteqqu 	imigh(V)^[Opt.Pres.Trns]^[2Pl.3Sg]
qamaqlluku 	qamagte(V)^[Sbrd.Trns]^[_.3Sg]
Rudolph-enkut 	Rudolph(N)^~sf-w:(e)nku(N→N)^[Abs.Pl]
tunusaawaqelghii 	tunusagh(N)^~(g)aqe(V→V)^[Ptcp.Intr]^[3Sg]
tunusaawaqelghii 	tunusagh(N)^~(g)aqe(V→V)^[Ptcp.Intr]^[3Sg]
tunusaawaqelghii 	tunusagh(N)^~(g)aqe(V→V)^[Ptcp.Intr]^[3Sg]
Rudolph-mun	Rudolph(N)^[All.Sg]
Uulu 	Uulu(N)^[Abs.Sg]
Nome-emun	Nome(N)^[All.Sg]
Nuumennaqumalghii 	Nome(N)^[All.Sg]^@~fnaqe(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
Uulumennaluni	Uulu(N)^[All.Sg]^@~fna(V→V)^[Sbrd.Intr]^[4Sg]
taghnuqhhaat	taghnughhagh*(N)^[Abs.Pl]
tawatelgutkutngwaalghiik	tawate(V)^–lgutke(V→V)^@~:(u)te(V→V)^~–(ghw/ngw/w)aagh(V→V)^[Ptcp.Intr]^[3Du]
naalkennaaghestekaak	naalke(V)^@~fnaagh(V→V)^[Intrg.Trns]^[2Du.3Du]
naalkennaaghestekaak	naalke(V)^@~fnaagh(V→V)^[Intrg.Trns]^[2Du.3Du]
iksemeng 	ikse(N)^[Abl_Mod.Sg]
ghhughh	ghhughh(PTCL)
suumelghghiimeng	suume(V)^@–lghii(V→N)^[Abl_Mod.Sg]
awiitngaghpesi 	awite(V)^[Conc.Intr]^[2Pl]
awiitngaghpesi 	awite(V)^[Conc.Intr]^[2Pl]
puliismengan 	puliismen(N)^[Rel.3SgPoss.Sg]
iigi	iigge(N)^[Abs.3SgPoss.Pl]
iigi	iigge(N)^[Abs.3SgPoss.Pl]
aghulatepiglleghhistun	aghulate(V)^–pig(N→N)^–llegh(V→N)^[Equ.Pl]
nenglaasimaghmeng 	nenglaghsiigh(V)^@~:(i/u)magh*(V→QUANTQUAL)^[Abl_Mod.Sg]
nenglaasimaghmeng 	nenglaghsiigh(V)^@~:(i/u)magh*(V→QUANTQUAL)^[Abl_Mod.Sg]
Uulum	Uulu(N)^[Rel.Sg]
tunusalguftuq 	tuunusagh(N)^–lgu(N→V)^+(pete)fte(V→V)^[Ind.Intr]^[3Sg]
pazelkun	pazel(N)^[Prl.Sg]
Rudolph-et 	Rudolph(N)^[Abs.Pl]
kalereqfiget	kalereqe(V)^@~fvig(V→N)^[Abs.Pl]
neghqiyuneghtuqaq 	neghqe(V)^@~fyuneghtu(V→V)^+tuqagh(V→N)^[Abs.Sg]
neghqiyuneghtuqaq 	neghqe(V)^@~fyuneghtu(V→V)^+tuqagh(V→N)^[Abs.Sg]
ellnganeng	ellnganeng(PRO.Abl_Mod.3Pl)
peghnakesi 	peghte(V)^[Opt.Fut.Trns]^[2Pl.3Pl]
nanglekilleghmeng 	nanglleg(EMO)^–llegh(V→N)^[Abl_Mod.Sg]
nanglekilleghmeng 	nanglleg(EMO)^–llegh(V→N)^[Abl_Mod.Sg]
uqiitaghvigkameng	uqiitagh(V)^@~fvig(V→N)^+kagh(N→N)^[Abl_Mod.Sg]
naghaaq	naghaagh(V)^[Abs.Sg]
aqnightefqaayek	aqnighte(V)^[Opt.Neg.Pres.Trns]^[2Sg.3Du]
qiipsaghqaqagka	qiipe(V)^@~fyaghqagh(V→N)^[Abs.1SgPoss.Du]
ritiguk	ritigu(N)^[Abs.Du]
natelnguut	natelngu(V)^[Ind.Intr]^[3Pl]
ellngani	ellngani(PRO.Loc.3Sg)
nalughqaghsimalghii	nalug(V)^~–qaghte(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
nalughqaghsimalghii	nalug(V)^~–qaghte(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
tawanlenguq	tawanlenguq(PTCL)
aghulaaqsiin	aghula(V)^~(g)aqe(V→V)^[Intrg.Intr.2Sg]
qughlung	qughlung(XCLM)
qung	qung(XCLM)
meteghllgrugnguq	meteghllug(N)^–ghrug(N→N)^[Abs.Sg]^=nguq
quneghqennallgha	qunegh(POS)^?^–llegh(V→N)^[Abs.3SgPoss.Sg]
quunghaghsimalghii	qunegh(POS)^~aghte(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
quneghqelluni	qunegh(POS)^+qe(V→V)^[Sbrd.Intr]^[4Sg]
sikiggaghngug	sikig(N)^–ghhagh*(N→N)^[Abs.Sg]^=nguq
itqaghsimalghii	?^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
neghyaghaaq	negh(V)^@~fyaghqagh(V→N)^[Abs.Sg]
univagem	nunivag(N)^[Rel.Sg]
iwughtellghanun	igughte(V)^–llegh(V→N)^[All.3SgPoss.Sg]
akumemeng	akume(N)^[Abl_Mod.Sg]
qallaauqaq	qallaqugh(V)^@~–(g)kagh(V→N)^[Abs.Sg]
akumutngwaaghyaghqaq	akume(N)^?^~–(ghw/ngw/w)aagh(V→V)^@~fyaghqagh(V→N)^[Abs.Sg]
uughsaghngaan	?
yagkelengestaaghaan	yagkelengestaaghaagh(N)^[Rel.3SgPoss.Sg]
aavgughaaqaq	?
alquutaghpagem	alquutagh(N)^+pag(V→V)^[Rel.Sg]
yagkelengestaaghaq	yagkelengestaaghaagh(N)^[Abs.Sg]
mekitgughmelngughmun	mekitkughmete(V)^@ngugh(V→N)^[All.Sg]
yagkelengestaaghaaghtellghanun	yagkelengestaaghaaghte(V)^–llegh(V→N)^[All.3SgPoss.Sg]
aakwlu	aaw(N)^[Abs.Sg]^=llu
tawavek	[Anaphor]^awavek(DEM.ADV.All)
akumutngwaallghanun	akume(N)^?^~–(ghw/ngw/w)aagh(V→V)^–llegh(V→N)^[All.3SgPoss.Sg]
aavgughaaghyaghqaq	?^@~fyaghqagh(V→N)^[Abs.Sg]
alnguunak	alngunak(PTCL)
nunmaaggaq	nunmaaggaq(PTCL)
alquutasqughaat	alquutagh(N)^–squghhagh*(N→N)^[Abs.Pl]
mekestaaghaaluku	mekestaaghhaa(V)^[Sbrd.Trns]^[_.3Sg]
akusaghqaq	akusaghqagh(N)^[Abs.Sg]
igughnegha	?
paguneghqelluku	paguneghqe(V)^[Sbrd.Trns]^[_.3Sg]
eslevaghaghtun	eslevagagh(N)^[Equ.Sg]
yataaghqesaghqaq	yataaghqe(V)^@~fyaghqagh(V→N)^[Abs.Sg]
kemeghqesaghqaq	kemeghqe(V)^@~fyaghqagh(V→N)^[Abs.Sg]
yataaghqelgha	yataaghqe(V)^–llegh(V→N)^[Abs.3SgPoss.Sg]
sasqughaaluku	sa(N)^–squghhagh*(N→N)^[Sbrd.Trns]^[_.3Sg]
sasqughaaluku	sa(N)^–squghhagh*(N→N)^[Sbrd.Trns]^[_.3Sg]
larda	lard(N)^[Abs.Sg]
kaagtughluku	?^[Sbrd.Trns]^[_.3Sg]
gaaregaghluku	gaagh(V)^+regagh(V→V)^[Sbrd.Trns]^[_.3Sg]
lardkun	lard(N)^[Prl.Sg]
aghevestaghaq	aghevestaaghagh*(N)^[Abs.Sg]
lardmeng	lard(N)^[Abl_Mod.Sg]
ughvegkun	ughvig(N)^[Prl.Sg]
yagkelengestaaghaaluku	yagkelengestaaghaagh(V)^[Sbrd.Trns]^[_.3Sg]
neqanganeng	neqe(N)^[Abl_Mod.3SgPoss.Pl]
aghevelengestaaghaghmeng	?^[Abl_Mod.Sg]
uughugutkelluku	suughuute(V)^@~:(u)tke(V→V)^[Sbrd.Trns]^[_.3Sg]
sasqughaghmeng	sa(N)^–squghhagh*(N→N)^[Abl_Mod.Sg]
rnesi	mesiigh(N)^[Abl_Mod.3SgPoss.Sg]
rnesi	mesiigh(N)^[Abl_Mod.3SgPoss.Sg]
ighaneng	mesiigh(N)^[Abl_Mod.3SgPoss.Sg]
tawatengngwaaq	tawatengwaaq(PTCL)
neqnga	neqe(N)^[Abs.3SgPoss.Sg]
neqetaaghasaghqaq	neqete(V)^?^@~fyaghqagh(V→N)^[Abs.Sg]
neghegkayuk	neghe(V)^~–kayug(V→N)^[Abs.Sg]
iqalluwaq	iqallugagh(N)^[Abs.Sg]
taam	taam(PTCL)
neqanganun	neqe(N)^[All.3SgPoss.Sg]
ilatepanghelkufsigu	ilate(V)^–panghite(V→V)^[Cond.Trns]^[2Pl.3Sg]
qamagtenngwaaghluni	qamagte(V)^~–(ghw/ngw/w)aagh(V→V)^[Sbrd.Intr]^[4Sg]
unaqusiikufsigu	?^[Cond.Trns]^[2Pl.3Sg]
maalghum	maalghug(NUM)^[Rel.Sg]
yagkelengestaaghaaiuku	yagkelengestaaghaagh(V)^[Sbrd.Trns]^[_.3Sg]
yagkelengestaaghaaiuku	yagkelengestaaghaagh(V)^[Sbrd.Trns]^[_.3Sg]
haaspetela	haaspetel(N)^[Abs.Sg]
naqatusik	nagatusigh(N)^[Abs.Sg]
aampyulensek	aampyulense(N)^[Abs.Du]
waatsek	waate(N)^[Abs.Du]
whaa-a	whaa(PTCL)
ii-ii-uuu	ii-ii-uuu(XCLM)
ellmiineng	ellmineng(PRO.Abl_Mod.4Sg)
neghaqi	neghe(V)^~(g)aqe(V→V)^[Opt.Pres.Intr.2Sg]
naghaaghaqi	naghaagh(V)^~(g)aqe(V→V)^[Opt.Pres.Intr.2Sg]
qavaghaqi	qavagh(V)^~(g)aqe(V→V)^[Opt.Pres.Intr.2Sg]
Tafi	Tafi(N)^[Abs.Sg]
anglegutangi	anglegute(N)^[Abs.3SgPoss.Pl]
tagilaghaalluteng	tagi(V)^~f–laghate(V→V)^[Sbrd.Intr]^[4Pl]
takum	[Anaphor]^uku(DEM.PRO)^[Rel.Sg]
Tallingunaquq	Talli(N)^~:(ng)u(N→V)^@~fnaqe(V→V)^[Ind.Intr]^[3Sg]
tallimaguut	tallimat(NUM)^~:(ng)u(N→V)^[Ind.Intr]^[3Pl]
teruwiteggu	terugi(V)^[Opt.Pres.Trns]^[2Pl.3Sg]
Talli	Talli(N)^[Abs.Sg]
tallimaneng	tallimat(NUM)^[Abl_Mod.Sg]
esghagh-yaghtuqaghtegguqun	esghagh(V)^@~fyaghtuqagh(V→V)^[Opt.Pres.Trns]^[2Pl.3Sg]=qun
goldfishet	goldfish(N)^[Abs.Pl]
tertelet	tertele(N)^[Abs.Pl]
tadpolet	tadpole(N)^[Abs.Pl]
chickenet	chicken(N)^[Abs.Pl]
ataasikaghtaghhaan	ataasigh(NUM)^+kaghtagh(DEM→N)^–ghhagh*(N→N)^[Rel.3SgPoss.Sg]
froget	frog(N)^[Abs.Pl]
maantaqut	?^[Ind.Intr]^[3Pl]
naayvaghaaghni	naayvaghagh(N)^[Loc.3SgPoss.Sg]
robin-et	robin(N)^[Abs.Pl]
prairie	prairie(N)^[Abs.Sg]
dog-et	dog(N)^[Abs.Pl]
desert-mi	desert(N)^[Loc.Sg]
jungle-mi	jungle(N)^[Loc.Sg]
teghigniqumalciku	teghigniqe(V)^@~:(i/u)ma(V→V)^[Sbrd.Trns]^[_.3Sg]
ketfiighwaghlleghhii	ketfiighwaghte(V)^[Ptcp.Intr]^[3Sg]
uvitangani	uvita(N)^[Loc.3SgPoss.Sg]
ketfiighwaghtuq	ketfiighwaghte(V)^[Ind.Intr]^[3Sg]
uvitangakun	uvita(N)^[Prl.3SgPoss.Sg]
taghtuvalluq	taghtu(N)^~f(p/v)allugh(N→N)^[Abs.Sg]
aqsagken-taghtugken	taghtu(N)^[Abs.2SgPoss.Du]
aqsagken-taghtugken	aqsa(N)^[Abs.2SgPoss.Du]
qinuyagullukii	qinuyug(V)^@~:(u)te(V→V)^[Sbrd.Trns]^[_.3Pl]
qinuyagullukii	qinuyug(V)^@~:(u)te(V→V)^[Sbrd.Trns]^[_.3Pl]
paaggurugllak	?^–ghllag(N→N)^[Abs.Du]
qemallnguq	qemall(PTCL)^=nguq
kinaatelleqaangaa	kinegh(V)^?^@lleqe(V→V)^[Ind.Trns]^[3Sg.1Sg]
atetingaa	ategh(V)^?^[Ind.Trns]^[3Sg.1Sg]
palaghhaghmeng	palaghhagh(N)^[Abl_Mod.Sg]
igleghaghtaghllak	iglegha(V)^+(s)ta(V→N)^–ghllag(N→N)^[Abs.Sg]
amyughaaghusini	amyughaagh(V)^~:(u)sigh(V→N)^[Loc.Pl]
almesiqlluku	almesiqe(V)^[Sbrd.Trns]^[_.3Sg]
qinunaghalghii	qinunaghqe(V)^[Ptcp.Intr]^[3Sg]
haluu	haluu(PTCL)
Patu	Patu(N)^[Abs.Sg]
whanganguuq	whanga(PRO.AbsRel.1Sg)^~:(ng)u(V→V)^[Ind.Intr]^[3Sg]
naay	naa(N)^[Voc.Sg]
nengllugutkaghput	nengllugute(N)^+kagh(N→N)^[Abs.1PlPoss.Sg]
taaghen	taagken(PTCL)
elInga	ellnga(PRO.Abs.3Sg)
nuyeklighmun	nuyekligh(N)^[All.Sg]
nuyikliiguq	nuyekligh(N)^~:(ng)u(N→V)^[Ind.Intr]^[3Sg]
nengllugutelguaq	nengllugute(N)^–lgu(N→V)^[Ind.Intr]^[3Sg]
nengllugutkangaa	nengllugute(N)^~–ke(N→V)^[Intrg.Trns]^[3Sg.1Sg]
nengllugutelwaa	nengllugute(N)^–lgu(N→V)^[Intrg.Intr]^[3Sg]
N	N
E	E
S	S
W	W
ugavaq	ugavagh(N)^[Abs.Sg]
peyukegkat	peyuke(V)^@~–(g)kagh(V→N)^[Abs.Pl]
iqlighmelnguq	iqlighmete(V)^[Ptcp.Intr]^[3Sg]
qavnqaq	qavngaq(PTCL)
oavngaq	qavngaq(PTCL)
piyuglleqiinga	piyug(V)^@lleqe(V→V)^[Ptcp.Intr]^[1Sg]
piyuglleqiinga	piyug(V)^@lleqe(V→V)^[Ptcp.Intr]^[1Sg]
whangaperegwaaghmeng	whanga(PRO.AbsRel.1Sg)^–perewaagh(N→N)^[Abl_Mod.Sg]
whangkunni	whangkunni(PRO.Loc.1Pl)
Patam	Pata(N)^[Rel.Sg]
Patankuk	Pata(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
Kanunkuk	Kanu(N)^~sf-w:(e)nku(N→N)^[Abs.Du]
Kanu	Kanu(N)^[Abs.Sg]
naaptaq	naaptagh(N)^[Abs.Sg]
iiksaghtughaak	iike(V)^@~fyaghtugh(V→V)^[Ind.Trns]^[3Sg.3Du]
kaasaghtughaak	kaate(V)^@~fyaghtugh(V→V)^[Ind.Trns]^[3Sg.3Du]
Tinanam	Tinana(N)^[Rel.Sg]
esghaghaak	esghagh(V)^[Ind.Trns]^[3Sg.3Du]
Ipi	Ipi(N)^[Abs.Sg]
paayghltegnekek	paayghi(V)^[Opt.Pres.Trns]^[2Du.3Du]
Ipim	Ipi(N)^[Rel.Sg]
apaminun	apa(N)^[All.4SgPoss.Sg]
Pata	Pata(N)^[Abs.Sg]
taanʼgavek	[Anaphor]^un'gavek(DEM.ADV.All)
unisnaghnaqamken	unite(V)^?^@~fnaqe(V→V)^[Ind.Trns]^[1Sg.2Sg]
Helen	Helen(N)^[Abs.Sg]
qantaghqameng	qantagh(V)^@~–(g)kagh(V→N)^[Abl_Mod.Sg]
allaghlluggaghmeng	allaghlluggaagh(N)^[Abl_Mod.Sg]
sivuklukuu	sivuke(V)^[Sbrd.Trns]^[_.3Sg]
aqmghllequq	aghmig(V)^@lleqe(V→V)^[Ind.Intr]^[3Sg]
piziin	pi(V)^[Intrg.Intr.2Sg]
suupemengllu	suupe(N)^[Abl_Mod.Sg]^=llu
kaa-a	kaa(PTCL)
aqnifqaamituq	aqnigh(V)^[Opt.Neg.Pres.Intr]^?^[Ind.Intr]^[3Sg]
neghuvangi	neghuvate(V)^[Abs.3SgPoss.Pl]
tangeghtungi	tangeghtu(V)^[Abs.3SgPoss.Pl]
tertelem	tertele(N)^[Rel.Sg]
melqwan	melqugh(N)^[Rel.3SgPoss.Sg]
awakaghaghmeggnilngughmun	awakaghagh(N)^[Loc.4PlPoss.Pl]^ete^@ngugh(V→N)^[All.Sg]
taam	taam(PTCL)
neghigatutmeggneng	negh(V)^@~:(ng)igate(V→V)^@~:(u)te(V→N)^[Abl_Mod.4PlPoss.Sg]
igleghusimakanga	igleghte(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
uyaqghwakun	uyaqugh(N)^[Prl.3SgPoss.Sg]
taakunginaghhaagneng	taake(V)^~:(ng)u(V→V)^~:(ng)inagh*(N→N)^?^[Abl_Mod.Du]
igleghaghtaamalghii	igleghte(V)^+(s)ta(V→N)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
neghesimangisimalghii	neghe(V)^@~:(i/u)mangite(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
piniipegsan	piniqe(V)^?
tengsimakanga	tenge(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
uyavaghpanun	uyavagh(N)^[All.Pl]
sikugnesimalghii	siku(N)^[Loc.Du]^ete^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
aglasimakanga	aglagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
pinigepiglluku	piniqe(V)^–pigte(V→V)^[Sbrd.Trns]^[_.3Sg]
kelehgakistekluku	kelengakiste(N)^~–ke(N→V)^[Sbrd.Trns]^[_.3Sg]
teghiikusam	teghikusagh(N)^[Rel.Sg]
saaghhwaakun	saaghw(AREA)^[Prl.Sg]
Unuusisukangamnguq	Unuusisukanga(N)^[Rel.Sg]=nguq
Unuusisukanganguq	Unuusisukanga(N)^[Abs.Sg]=nguq
unaangum	unaangu(V)^[Rel.Sg]
neqanganun	neqe(N)^[All.3SgPoss.Sg]
iiteklagmi	iiteklag(N)^[Loc.Sg]
pinighqusiqlu	pinighqe(V)^~:(u)sigh(V→N)^[Abs.Sg]^=llu
ighivgaam	ighivagh(V)^[Rel.Sg]
aghhutanga	aghhutanga tamaghhaan(PTCL)
kelaaset	kelaase(N)^[Abs.Pl]
iqangighsalghetlu	iqangigh(V)^+sagh(V→V)^–llegh(V→N)^[Abs.Pl]^=llu
pinighsalghetlu	pinigh(V)^+sagh(V→V)^–llegh(V→N)^[Abs.Pl]^=llu
perasaaqanka	perasa(V)~(g)aqe(V→V)^[Ind.Trns]^[1Sg.3Pl]
perasenka	peras(N)^[Abs.1SgPoss.Pl]
wiikeni	wiike(N)^[Loc.Sg]
pinighyuugtaquq	pinighyug(V)^–ghte(V→V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]
peleghqengngiitat	peleghqe(V)^~:(ng)ite(V→V)^[Intrg.Intr]^[3Pl]
iqitngaghma	iqitngagh(POS→QUANTQUAL)^[1Sg]
hall-mi	hall(N)^[Loc.Sg]
tiiskama	?
iqitniita	iqitngagh(POS→QUANTQUAL)^[3Pl]
fire	fire(N)^[Abs.Sg]
alarma	alarm(N)^[Abs.Sg]
aqfalighaataamagha	aqfaate(V)^?
kaayteka	kaayte(N)^[Abs.1SgPoss.Sg]
electricgem	electric(N)^[Rel.Sg]
nekegneqlu	nekegte(V)^@~f–negh(V→N)^[Abs.Sg]^=llu
uteghvani	uteghvagh(V)^[Loc.Sg]
ayemrugtallu	ayemruugte(V)^[Abs.Sg]^=llu
fresh	fresh(ADJ)
iireyugaqunga	iire(N)^@~fyug(N→V)^~(g)aqe(V→V)^[Ind.Intr]^[1Sg]
aghhuta	aghhutanga tamaghhaan(PTCL)
tamaghhaani	tamaghhagh*(QUANTQUAL)^[Loc.Sg]
kiyaghtaallghit	kiyaghte(V)^?^–llegh(V→N)^[Abs.3PlPoss.Pl]
yuvghiighaqaak	yuvghiigh(V)^~(g)aqe(V→V)^[Intrg.Intr]^[3Du]
maalghuneng	maalghug(NUM)^[Abl_Mod.Pl]
qanlenguq	qanlenguq(PTCL)
tevezneq	teveznegh(N)^[Abs.Sg]
ayakmitaq	ayakmitagh(V)^[Abs.Sg]
esluq	eslugh(V)^[Abs.Sg]
saasqa	saasqagh(N)^[Abs.Sg]
paagka	?
kavuk	?
yita	yite(V)^[Abs.Sg]
kiimlluk	kiimlug(POS)^[Abs.Sg]
kiimlluk	kiimlug(POS)^[Abs.Sg]
qetngiq	qetngigh(V)^[Abs.Sg]
kalefqun	?
pugnan	?
pugnaaqegtak	pugnaate(V)^@–nqegtagh(V→N)^[Abs.Sg]
kalevneghak	kaleve(V)^@~f–negh(V→N)^[Abs.Du]
ahneghtughtekestaghaqaa	aghneghtughte(V)^–kestagh(V→V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Sg]
nunivagseghag	nunivagseghagh(N)^[Abs.Sg]
anuqatuq	anuqate(V)^[Ind.Intr]^[3Sg]
tengtestaghwaaghpenasi	tenge(V)^+(te)ste(CmpdVbl)^~–(ghw/ngw/w)aagh(V→V)^@-nghite(V→V)^[Sbrd.Intr]^[2Pl]
tengtestaghwaaghpenasi	tenge(V)^+(te)ste(CmpdVbl)^~–(ghw/ngw/w)aagh(V→V)^@-nghite(V→V)^[Sbrd.Intr]^[2Pl]
tengtestaghwaaghpenasi	tenge(V)^+(te)ste(CmpdVbl)^~–(ghw/ngw/w)aagh(V→V)^@-nghite(V→V)^[Sbrd.Intr]^[2Pl]
qasuqestaq	qasugh(N)^–kestagh(V→V)^[Abs.Sg]
igiitaghaaghtaa	igiitaghagh(N)^+te(N→V)^[Ind.Trns]^[3Sg.3Sg]
igleghtengnginaamaluta	igleghte(V)^~:(ng)inagh(V→V)^@~:(i/u)ma(V→V)^[Sbrd.Trns]^[_.1Pl]
amsanaghqwaagaa	amsanagh(N)^–ghqu(N→V)^~(g)aqe(V→V)^[Ind.Trns]^[3Sg.3Sg]
puqleghaagsimaa	puqleghaagh(N)^@~:(i/u)ma(V→V)^[Ind.Trns]^[3Sg.3Sg]
puqleghaagsimaa	puqleghaagh(N)^@~:(i/u)ma(V→V)^[Ind.Trns]^[3Sg.3Sg]
thermometer-em	thermometer(N)^[Rel.Sg]
zero	zero(NUM)
degrees	degree(N)^[Abs.Pl]
qanlenguqun	qanglengugh(PTCL)^=qun
teveznegha	teveznegh(N)^[Abs.3SgPoss.Sg]
ayakmitngaaq	ayakmitagh(V)^~fnga(POS→STATIVE)^[Ind.Intr]^[3Sg]
Pertum	Pertu(N)^[Rel.Sg]
anuqalnguq	anuqate(V)^@ngugh(V→N)^[Abs.Sg]
